 
****************************************
Report : area
Design : DnCNN
Version: R-2020.09
Date   : Thu Jun 23 15:39:47 2022
****************************************

Library(s) Used:

    slow_vdd1v2 (File: /theda21_2/library/GPDK045/cur/gsclib045/db/slow_vdd1v2_basicCells.db)

Number of ports:                         8735
Number of nets:                         50985
Number of cells:                        37215
Number of combinational cells:          33162
Number of sequential cells:              3938
Number of macros/black boxes:               0
Number of buf/inv:                       2873
Number of references:                     138

Combinational area:              84831.853592
Buf/Inv area:                     2819.790063
Noncombinational area:           23209.146518
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (No wire load specified)

Total cell area:                108041.000110
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area             Local cell area
                                  --------------------  ------------------------------ 
Hierarchical cell                 Absolute     Percent  Combi-      Noncombi-   Black-
                                  Total        Total    national    national    boxes   Design
pea/pe01/add_0_root_add_512_2         92.3400      0.1     92.3400      0.0000  0.0000  PE_10_DW01_add_0_DW01_add_38
pea/pe01/add_1_root_add_512_2         87.2100      0.1     87.2100      0.0000  0.0000  PE_10_DW01_add_1_DW01_add_39
pea/pe01/mult_507                    336.5280      0.3    336.5280      0.0000  0.0000  PE_10_DW_mult_tc_2_DW_mult_tc_32
pea/pe01/mult_508                    336.5280      0.3    336.5280      0.0000  0.0000  PE_10_DW_mult_tc_1_DW_mult_tc_30
pea/pe01/mult_509                    336.5280      0.3    336.5280      0.0000  0.0000  PE_10_DW_mult_tc_0_DW_mult_tc_9
pea/pe02                            1827.9900      1.7    124.4880    514.3680  0.0000  PE_8
pea/pe02/add_0_root_add_512_2         92.3400      0.1     92.3400      0.0000  0.0000  PE_8_DW01_add_0_DW01_add_34
pea/pe02/add_1_root_add_512_2         87.2100      0.1     87.2100      0.0000  0.0000  PE_8_DW01_add_1_DW01_add_35
pea/pe02/mult_507                    336.5280      0.3    336.5280      0.0000  0.0000  PE_8_DW_mult_tc_2_DW_mult_tc_27
pea/pe02/mult_508                    336.5280      0.3    336.5280      0.0000  0.0000  PE_8_DW_mult_tc_1_DW_mult_tc_24
pea/pe02/mult_509                    336.5280      0.3    336.5280      0.0000  0.0000  PE_8_DW_mult_tc_0_DW_mult_tc_6
pea/pe03                            1827.9900      1.7    124.4880    514.3680  0.0000  PE_5
pea/pe03/add_0_root_add_512_2         92.3400      0.1     92.3400      0.0000  0.0000  PE_5_DW01_add_0_DW01_add_28
pea/pe03/add_1_root_add_512_2         87.2100      0.1     87.2100      0.0000  0.0000  PE_5_DW01_add_1_DW01_add_29
pea/pe03/mult_507                    336.5280      0.3    336.5280      0.0000  0.0000  PE_5_DW_mult_tc_2_DW_mult_tc_21
pea/pe03/mult_508                    336.5280      0.3    336.5280      0.0000  0.0000  PE_5_DW_mult_tc_1_DW_mult_tc_18
